"company" "tikr" "price" "country" "mrkt"
"Amgen, Inc." "AMGN" 227.28 "US" "XNAS"
"Avenue Therapeutics, Inc." "ATXI" 0.91 "US" "XNAS"
"180 Life Sciences Corp." "ATNF" 3.32 "US" "XNAS"
"Alzamend Neuro, Inc." "ALZN" 1.92 "US" "XNAS"
"ARKO Corp." "ARKO" 8.15 "US" "XNAS"
"Altice USA, Inc." "ATUS" 16.11 "US" "XNYS"
"Allison Transmission Holdings, Inc." "ALSN" 38.01 "US" "XNYS"
"Alector, Inc." "ALEC" 17.93 "US" "XNAS"
"Assurant, Inc." "AIZ" 158.68 "AU" NA
"Alleghany Corp." "Y" 674.53 "CA" NA
"Albemarle Corp." "ALB" 235.89 "LN" NA
"Aquestive Therapeutics, Inc." "AQST" 3.85 "US" "XNAS"
"Allogene Therapeutics, Inc." "ALLO" 13.46 "US" "XNAS"
"Apogee Enterprises, Inc." "APOG" 47.22 "US" "XNAS"
"Ameren Corp." "AEE" 88.23 "AU" NA
"Armata Pharmaceuticals, Inc." "ARMP" 5.94 "US" "XASE"
"Anixa Biosciences, Inc." "ANIX" 3.15 "US" "XNAS"
"Alphabet, Inc." "GOOGL" 2740.24 "US" "XNAS"
"Acadia Realty Trust" "AKR" 22.18 "CA" NA
"Amneal Pharmaceuticals, Inc." "AMRX" 4.63 "US" "XNYS"
"American Superconductor Corp." "AMSC" 10.24 "US" "XNAS"
"Alexander's, Inc." "ALX" 272.88 "AU" NA
"Applied Therapeutics, Inc." "APLT" 4.14 "US" "XNAS"
"Abbott Laboratories" "ABT" 135.53 "AU" NA
