"company","tikr","price"
"Freeline Therapeutics Holdings Plc","FRLN",1.73
"GoHealth, Inc.","GOCO",2.97
"First Midwest Bancorp, Inc. (Illinois)","FMBI",22.04
"First Financial Corp. (Indiana)","THFF",45.9
"Hepion Pharmaceuticals, Inc.","HEPA",1.25
"Exelon Corp.","EXC",56.63
"Hutchmed (China) Ltd.","HCM",33.1
"Healthcare Realty Trust, Inc.","HR",31.46
"F5 Networks, Inc.","FFIV",232.13
"Fresenius Medical Care AG & Co. KGaA","FMS",32.44
"GlaxoSmithKline Plc","GSK",43.85
"Equus Total Return Fund","EQS",2.36
"Exicure, Inc.","XCUR",0.2
