"company","tikr","price"
"Carrier Global Corp.","CARR",51.84
"Canaan, Inc.","CAN",4.67
"Brady Corp.","BRC",53.47
"Baosheng Media Group Holdings Ltd.","BAOS",0.95
"Bath & Body Works Inc","BBWI",59.9
"Broadcom, Inc.","AVGO",618.85
"Cadence Design Systems, Inc.","CDNS",166.01
"Bellerophon Therapeutics, Inc.","BLPH",3.1
"Cheesecake Factory, Inc.","CAKE",38.91
"Ciena Corp.","CIEN",72.99
"Caladrius Biosciences, Inc.","CLBS",0.93
"Callon Petroleum Co.","CPE",51.94
"Blade Air Mobility, Inc.","BLDE",7.53
"Bunge Ltd.","BG",96.96
"BSQUARE Corp.","BSQR",1.64
"Brighthouse Financial, Inc.","BHF",56.18
"Cambium Networks Corp.","CMBM",23.81
"BorgWarner, Inc.","BWA",48.63
"Bluerock Residential Growth REIT, Inc.","BRG",26.41
"Biophytis SA","BPTS",5.47
"BrightSphere Investment Group, Inc.","BSIG",24.31
"BRT Apartments Corp.","BRT",22.76
"California Resources Corp.","CRC",43.14
"Chicago Rivet & Machine Co.","CVR",26.86
"Axonics, Inc.","AXNX",54.65
"Cincinnati Bancorp, Inc.","CNNB",14.59
"BeyondSpring, Inc.","BYSI",4.52
"Baudax Bio, Inc.","BXRX",0.21
"Cardiff Oncology, Inc.","CRDF",6.35
"British American Tobacco plc","BTI",38.98
"BeiGene Ltd.","BGNE",229.45
"Better Choice Co., Inc.","BTTR",2.98
"Banco Santander Mexico SA Institucion de Banca Multiple","BSMX",5.7
"Avrobio, Inc.","AVRO",2.12
"Cardiovascular Systems, Inc.","CSII",18.11
"Aware, Inc. (Massachusetts)","AWRE",3.01
"BrasilAgro Cia Brasileira de Propriedades Agricolas","LND",5.07
"Central Garden & Pet Co.","CENTA",45.91
"BRP Group, Inc.","BRP",33.4
"Bolt Biotherapeutics, Inc.","BOLT",3.77
"BriaCell Therapeutics Corp.","BCTX",8.48
"Bankwell Financial Group, Inc.","BWFG",33.82
"Blucora, Inc.","BCOR",16.97
"Can-Fite BioPharma Ltd.","CANF",1.31
"Chesapeake Utilities Corp.","CPK",139.2
"BioNTech SE","BNTX",211.88
"Brooklyn ImmunoTherapeutics, Inc.","BTX",3.88
"CBAK Energy Technology, Inc.","CBAT",1.38
"C&F Financial Corp.","CFFI",52.2
"Bristol Myers Squibb Co.","BMY",62.82
"China Life Insurance Co. Ltd.","LFC",8.69
"Aziyo Biologics, Inc.","AZYO",6.49
"Carter's, Inc.","CRI",98.6
"Byrna Technologies, Inc.","BYRN",12.11
"Charles & Colvard Ltd.","CTHR",2.63
"Avino Silver & Gold Mines Ltd.","ASM",0.79
"Checkpoint Therapeutics, Inc.","CKPT",2.73
"BEST, Inc. (China)","BEST",0.88
"CarLotz, Inc.","LOTZ",2.22
"Canadian Natural Resources Ltd.","CNQ",47.29
"Blue Ridge Bankshares, Inc. (Virginia)","BRBS",18.25
"BioSig Technologies, Inc.","BSGM",2.26
"Cactus, Inc.","WHD",42.67
"BOS Better Online Solutions Ltd.","BOSC",2.79
"Champions Oncology, Inc.","CSBR",8.2
"Avid Bioservices, Inc.","CDMO",22.21
"California Water Service Group","CWT",67.78
"CBRE Group, Inc.","CBRE",104.8
"Central Garden & Pet Co.","CENT",50.09
"Axcelis Technologies, Inc.","ACLS",68.7
"Carver Bancorp, Inc.","CARV",7.89
"C4 Therapeutics, Inc.","CCCC",27.11
"Chemung Financial Corp.","CHMG",45.38
"CEMEX SAB de CV","CX",6.55
"Ceragon Networks Ltd.","CRNT",2.48
"Canon, Inc.","CAJ",24.15
"Avid Technology, Inc.","AVID",29.06
"BIOLASE, Inc.","BIOL",0.4
"Choice Hotels International, Inc.","CHH",154.25
"Blue Apron Holdings, Inc.","APRN",6.39
"Chico's FAS, Inc.","CHS",4.87
"Bank First Corp.","BFC",73.06
"Celsius Holdings, Inc.","CELH",54.55
"Baozun, Inc.","BZUN",14.05
"Blend Labs, Inc.","BLND",7.01
"Banc of California, Inc.","BANC",21.21
"BioMarin Pharmaceutical, Inc.","BMRN",84.21
"Baker Hughes Co.","BKR",26.13
"BJ's Restaurants, Inc.","BJRI",33.82
"CF Industries Holdings, Inc.","CF",69.14
"Certara, Inc.","CERT",25.48
"Celularity, Inc.","CELU",4.6
"Bright Health Group, Inc.","BHG",2.95
"Banner Corp.","BANR",64.91
"Capricor Therapeutics, Inc.","CAPR",3.04
"Barnwell Industries, Inc.","BRN",2.84
"BRP, Inc.","DOOO",82.78
"C3.ai, Inc.","AI",29.93
"Axcella Health, Inc.","AXLA",2.01
"Bio-Rad Laboratories, Inc.","BIO",662.87
"BIT Mining Ltd.","BTCM",5.58
"Catalent, Inc.","CTLT",115.46
"Braemar Hotels & Resorts, Inc.","BHR",5.32
"Carpenter Technology Corp.","CRS",32.47
"BayCom Corp.","BCML",19.2
"Banco Bradesco SA","BBD",3.57
"Avnet, Inc.","AVT",41.33
"Chesapeake Energy Corp.","CHK",69.35
"Blue Hat Interactive Entertainment Technology","BHAT",0.42
"Bogota Financial Corp.","BSBK",10.1
"Berkeley Lights, Inc.","BLI",9.6
"Bioventus, Inc.","BVS",14.23
"Berry Corp.","BRY",8.8
"Camber Energy, Inc.","CEI",0.82
"Castle Biosciences, Inc.","CSTL",39.16
"Chemomab Therapeutics Ltd.","CMMB",6.74
"Bank of South Carolina Corp.","BKSC",20.25
"Brown & Brown, Inc.","BRO",68.59
"BCE, Inc.","BCE",52.14
"Capital Southwest Corp","CSWC",24.89
"AYRO, Inc.","AYRO",1.54
"Boston Properties, Inc.","BXP",125.63
"Biofrontera AG","BFRA",3.05
"Charles River Laboratories International, Inc.","CRL",328.82
"BWX Technologies, Inc.","BWXT",49.04
"Chart Industries, Inc.","GTLS",137.7
"Bio-Path Holdings, Inc.","BPTH",3.88
"Brunswick Corp.","BC",100.28
"Carvana Co.","CVNA",184.6
"Cellectar BioSciences, Inc.","CLRB",0.69
"Cidara Therapeutics, Inc.","CDTX",1.07
"Cerus Corp.","CERS",6.01
"Box, Inc.","BOX",25.66
"Ayala Pharmaceuticals, Inc.","AYLA",7.65
"Bar Harbor Bankshares","BHB",31.25
"Bank of Montreal","BMO",113.15
"BioVie, Inc.","BIVI",4.77
"Bassett Furniture Industries, Inc.","BSET",16.88
"Barrett Business Services, Inc.","BBSI",67.15
"Barnes Group, Inc.","B",47.9
"Chimerix, Inc.","CMRX",6
"Cardinal Health, Inc.","CAH",54.25
"Celcuity, Inc.","CELC",12.85
"Bio-Rad Laboratories, Inc.","BIO/B",679.16
"Cerner Corp.","CERN",92.32
"Berkshire Hathaway, Inc.","BRK/B",319.8
"B&G Foods, Inc.","BGS",33.74
"Cimpress Plc","CMPR",70.95
"Checkmate Pharmaceuticals, Inc.","CMPI",2.61
"Centrus Energy Corp.","LEU",51.97
"Ballantyne Strong, Inc.","BTN",2.93
"Cal-Maine Foods, Inc.","CALM",38.86
"Cathay General Bancorp","CATY",46.32
"CASI Pharmaceuticals, Inc.","CASI",0.78
"Ceridian HCM Holding, Inc.","CDAY",89.51
"Brigham Minerals, Inc.","MNRL",22.41
"Bridgewater Bancshares, Inc.","BWB",18.02
"BlackLine, Inc.","BL",96.37
"Banco Bradesco SA","BBDO",2.9
"Check Point Software Technologies Ltd.","CHKP",119.5
"Bank7 Corp.","BSVN",24.62
"Cherry Hill Mortgage Investment Corp.","CHMI",8.42
"Beyond Meat, Inc.","BYND",68.62
"CenterPoint Energy, Inc.","CNP",27.65
"Bristow Group, Inc.","VTOL",33.58
"Catalyst Biosciences, Inc.","CBIO",0.83
"Bed Bath & Beyond, Inc.","BBBY",13.81
"Bright Horizons Family Solutions, Inc.","BFAM",126.48
"Bain Capital Specialty Finance, Inc.","BCSF",15.65
"CDW Corp.","CDW",198.36
"CatchMark Timber Trust, Inc.","CTT",8.83
"CBTX, Inc. (Texas)","CBTX",30.3
"Belden, Inc.","BDC",61.25
"Capital One Financial Corp.","COF",154.63
"CEL-SCI Corp.","CVM",6.21
"Renovare Environmental Inc","RENO",0.7
"bluebird bio, Inc.","BLUE",9.55
"Churchill Downs, Inc.","CHDN",230.97
"Canadian National Railway Co.","CNI",123.41
"Broadway Financial Corp. (California)","BYFC",2.45
"Boxlight Corp.","BOXL",1.23
"BigCommerce Holdings, Inc.","BIGC",32.67
"Banco BBVA Argentina SA","BBAR",3.11
"BlackRock, Inc.","BLK",892.25
"Chinook Therapeutics, Inc.","KDNY",14.34
"CARA Therapeutics, Inc.","CARA",11.77
"CareMax, Inc.","CMAX",7.75
"CACI International, Inc.","CACI",273.18
"Brightcove, Inc.","BCOV",9.96
"Canoo, Inc.","GOEV",7.01
"Chemed Corp.","CHE",496.72
"Business First Bancshares, Inc.","BFST",29.25
"Benchmark Electronics, Inc.","BHE",26.96
"Canadian Pacific Railway Ltd.","CP",75.74
"BurgerFi International, Inc.","BFI",5.79
"Cable One, Inc.","CABO",1669.16
"Bon Natural Life Ltd","BON",4.18
"CalAmp Corp.","CAMP",6.55
"Betterware de México SAPI de CV","BWMX",19.63
"Ball Corp.","BLL",90.53
"Bright Scholar Education Holdings Ltd.","BEDU",1.02
"Casper Sleep, Inc.","CSPR",6.67
"Century Communities, Inc.","CCS",70.88
"Coterra Energy Inc","CTRA",21.55
"Blue Owl Capital, Inc.","OWL",14.01
"China Southern Airlines Co. Ltd.","ZNH",30.4
"Cboe Global Markets, Inc.","CBOE",124.17
"Beam Global","BEEM",16.21
"Big Lots, Inc.","BIG",49.67
"Centerspace","CSR",103.33
"Chase Corp.","CCF",99.99
"AZZ, Inc.","AZZ",55.03
"Capitol Federal Financial, Inc.","CFFN",11.68
"Biomea Fusion, Inc.","BMEA",7.83
"Casella Waste Systems, Inc.","CWST",80.26
"BioLife Solutions, Inc.","BLFS",30.88
"Catalyst Pharmaceuticals, Inc.","CPRX",6.56
"Braskem SA","BAK",18.69
"Centennial Resource Development, Inc.","CDEV",6.95
"Biocept, Inc.","BIOC",3.78
"Beacon Roofing Supply, Inc.","BECN",54.69
"CarParts.com, Inc.","PRTS",11.25
"Camping World Holdings, Inc.","CWH",38.58
"Chimera Investment Corp.","CIM",15.06
"Canada Goose Holdings, Inc.","GOOS",34.39
"Church & Dwight Co., Inc.","CHD",103.59
"Bluegreen Vacations Holding Corp.","BVH",34.16
"Calithera Biosciences, Inc.","CALA",0.6
"Cigna Corp.","CI",233.16
"Bloom Energy Corp.","BE",19.26
"Cheniere Energy, Inc.","LNG",108.44
"Boyd Gaming Corp.","BYD",63.51
"Brainsway Ltd.","BWAY",7.72
"BioAtla, Inc.","BCAB",16.16
"Biodesix, Inc.","BDSX",5.4
"Canadian Imperial Bank of Commerce","CM",124.01
"Big 5 Sporting Goods Corp.","BGFV",19.09
"Bank of America Corp.","BAC",49.17
"Cerence, Inc.","CRNC",79.03
"Cannae Holdings, Inc.","CNNE",34.43
"Chewy, Inc.","CHWY",48.61
"Avista Corp.","AVA",42.98
"Bridgford Foods Corp.","BRID",12.01
"BiondVax Pharmaceuticals Ltd.","BVXV",2.04
"Brookdale Senior Living, Inc.","BKD",5.25
"Bank of Hawaii Corp.","BOH",90.76
"Change Healthcare, Inc.","CHNG",21.09
"Azul SA","AZUL",12.79
"Brainstorm Cell Therapeutics, Inc.","BCLI",3.75
"Battalion Oil Corp.","BATL",10.31
"Borqs Technologies, Inc.","BRQS",0.39
"Central Pacific Financial Corp.","CPF",30.38
"Avis Budget Group, Inc.","CAR",196.96
"Chembio Diagnostics, Inc.","CEMI",1.08
"Booz Allen Hamilton Holding Corp.","BAH",87.46
"BGC Partners, Inc.","BGCP",4.59
"Boston Beer Co., Inc.","SAM",517.88
"Bowman Consulting Group Ltd.","BWMN",21.4
"Chevron Corp.","CVX",125.03
"Capri Holdings Ltd.","CPRI",61.85
"Benefitfocus, Inc.","BNFT",10.56
"Carlisle Cos., Inc.","CSL",238.95
"Cantaloupe, Inc.","CTLP",8.45
"China Natural Resources, Inc.","CHNR",1.06
"BrightSpire Capital, Inc.","BRSP",10.08
"Blackbaud, Inc.","BLKB",69.32
"Check-Cap Ltd.","CHEK",0.66
"Badger Meter, Inc.","BMI",97.77
"Black Knight, Inc.","BKI",79.13
"Burning Rock Biotech Ltd.","BNR",9.23
"CB Financial Services, Inc.","CBFV",24.25
"Beyond Air, Inc.","XAIR",8.57
"Broadwind, Inc.","BWEN",1.78
"BIO-key International, Inc.","BKYI",2.29
"Central Valley Community Bancorp","CVCY",22.78
"Beam Therapeutics, Inc.","BEAM",70.37
"Axalta Coating Systems Ltd.","AXTA",32.51
"Barrick Gold Corp.","GOLD",18.1
"Broadstone Net Lease, Inc.","BNL",24.25
"Brookfield Renewable Corp.","BEPC",34.74
"CEVA, Inc.","CEVA",38.94
"Charah Solutions, Inc.","CHRA",5.33
"Celldex Therapeutics, Inc.","CLDX",36.61
"Cinedigm Corp.","CIDM",1.15
"Becton, Dickinson & Co.","BDX",254.12
"Cameco Corp.","CCJ",23.68
"Cemtrex, Inc.","CETX",0.85
"Brookline Bancorp, Inc.","BRKL",17.48
"California BanCorp","CALB",20.45
"Cardlytics, Inc.","CDLX",61
"Caesarstone Ltd.","CSTE",12.13
"Cargurus, Inc.","CARG",32.58
"Birks Group, Inc.","BGI",4.71
"Canterbury Park Holding Corp.","CPHC",17.4
"Cincinnati Financial Corp.","CINF",118.64
"Pixelworks, Inc.","PXLW",4.1
"Paramount Group, Inc.","PGRE",9.64
"OneMain Holdings, Inc.","OMF",53.16
"PennyMac Mortgage Investment Trust","PMT",18.03
"Ryman Hospitality Properties, Inc.","RHP",91.84
"Phoenix New Media Ltd.","FENG",0.83
"Rambus, Inc.","RMBS",27.55
"Plantronics, Inc.","POLY",28.3
"Research Solutions, Inc.","RSSS",2.29
"Seagate Technology Holdings Plc","STX",110.93
"Quhuo Ltd.","QH",1.08
"PDS Biotechnology Corp.","PDSB",7.22
"PotlatchDeltic Corp.","PCH",56.52
"Sleep Number Corp.","SNBR",77.13
"Partner Communications Co. Ltd.","PTNR",8.08
"Radian Group Inc.","RDN",22.57
"Pop Culture Group Co., Ltd.","CPOP",2.23
"Raymond James Financial, Inc.","RJF",109.05
"Pennsylvania Real Estate Investment Trust","PEI",1.18
"Savara, Inc.","SVRA",1.32
"Pinnacle West Capital Corp.","PNW",70.79
"Q&K International Group Ltd.","QK",0.52
"Safehold Inc.","SAFE",70.62
"Sarepta Therapeutics, Inc.","SRPT",85.52
"nVent Electric Plc","NVT",37.38
"Otis Worldwide Corp.","OTIS",84.33
"Sempra Energy","SRE",138.2
"TROOPS Inc","TROO",5
"Petróleo Brasileiro SA","PBR",11.01
"Nxt-ID Inc","NXTD",3.04
"Open Lending Corp.","LPRO",20.3
"NovaBay Pharmaceuticals, Inc.","NBY",0.37
"Reservoir Media Inc","RSVR",7.53
"OPKO Health, Inc.","OPK",4.45
"Shaw Communications, Inc.","SJR",30.11
"Signature Bank (New York, New York)","SBNY",365.72
"Quest Diagnostics, Inc.","DGX",155.86
"Northern Oil & Gas, Inc.","NOG",22.59
"Overseas Shipholding Group, Inc.","OSG",1.98
"NovaGold Resources, Inc.","NG",6.36
"RADCOM Ltd.","RDCM",12.95
"Pactiv Evergreen, Inc.","PTVE",12.65
"Progressive Corp.","PGR",109.22
"Sinopec Shanghai Petrochemical Co. Ltd.","SHI",23.45
"Pieris Pharmaceuticals, Inc.","PIRS",3.39
"RPT Realty","RPT",13.66
"PPG Industries, Inc.","PPG",167.68
"Orion Office REIT Inc","ONL",17.99
"Root, Inc. (Delaware)","ROOT",2.88
"Pembina Pipeline Corp.","PBA",31.29
"Skyline Champion Corp.","SKY",69.95
"SL Green Realty Corp.","SLG",79.97
"Rigel Pharmaceuticals, Inc.","RIGL",2.53
"Owl Rock Capital Corp.","ORCC",14.48
"RedHill Biopharma Ltd.","RDHL",2.56
"Prologis, Inc.","PLD",153.71
"R.R. Donnelley & Sons Co.","RRD",11.2
"Okta, Inc.","OKTA",196.79
"Seelos Therapeutics, Inc.","SEEL",1.47
"Romeo Power, Inc.","RMO",3.23
"Philip Morris International, Inc.","PM",99.13
"Palatin Technologies, Inc.","PTN",0.46
"Omega Healthcare Investors, Inc.","OHI",31.36
"ReTo Eco-Solutions, Inc.","RETO",1.38
"Otonomy, Inc.","OTIC",2.01
"Resonant, Inc.","RESN",1.7
"PolyMet Mining Corp.","PLM",2.66
"Orla Mining Ltd.","ORLA",3.42
"PainReform Ltd.","PRFX",1.34
"Paratek Pharmaceuticals, Inc.","PRTK",4.52
"Public Service Enterprise Group, Inc.","PEG",67.02
"Pan American Silver Corp.","PAAS",22.46
"RELX Plc","RELX",30.1
"Shift Technologies, Inc.","SFT",3.04
"Silvergate Capital Corp.","SI",128.39
"Schlumberger NV","SLB",35.03
"Perrigo Co. Plc","PRGO",40.72
"RingCentral, Inc.","RNG",172.48
"Precigen, Inc.","PGEN",3.18
"Peloton Interactive, Inc.","PTON",35.55
"Perion Network Ltd.","PERI",21.5
"Pure Storage, Inc.","PSTG",29.84
"Pingtan Marine Enterprise, Ltd.","PME",0.52
"QUALCOMM, Inc.","QCOM",180.4
"Sequans Communications SA","SQNS",5
"Phio Pharmaceuticals Corp.","PHIO",0.99
"Northrop Grumman Corp.","NOC",400.46
"Skillz, Inc.","SKLZ",6.09
"Save Foods, Inc.","SVFD",4.16
"Santander Consumer USA Holdings, Inc.","SC",41.83
"Orion Engineered Carbons SA","OEC",18.53
"Pearson Plc","PSO",8.3
"Rocket Cos., Inc.","RKT",14.16
"Olin Corp.","OLN",53.91
"PolyPid Ltd.","PYPD",6.22
"Seanergy Maritime Holdings Corp.","SHIP",0.94
"Revolution Medicines, Inc.","RVMD",22.94
"Skylight Health Group, Inc.","SLHG",1.21
"Retractable Technologies, Inc.","RVP",6.51
"Parker-Hannifin Corp.","PH",323.75
"Rhythm Pharmaceuticals, Inc.","RYTM",9.3
"Orange SA","ORAN",10.74
"Seres Therapeutics, Inc.","MCRB",8.54
"RiceBran Technologies","RIBT",0.32
"Sesen Bio, Inc.","SESN",0.83
"SelectQuote, Inc.","SLQT",8.11
"Novanta, Inc.","NOVT",159.66
"RPC, Inc.","RES",5.72
"Sally Beauty Holdings, Inc.","SBH",18.05
"OraSure Technologies, Inc.","OSUR",7.96
"PBF Energy, Inc.","PBF",16.3
"Pharming Group NV","PHAR",9.3
"Retail Opportunity Investments Corp.","ROIC",19.55
"Quantum Corp.","QMCO",5.43
"RPM International, Inc.","RPM",91.99
"NOW, Inc.","DNOW",9.23
"NRG Energy, Inc.","NRG",40.56
"Northern Dynasty Minerals Ltd.","NAK",0.34
"SilverSun Technologies, Inc.","SSNT",4.05
"Premier, Inc. (North Carolina)","PINC",40.24
"Power Integrations, Inc.","POWI",85.15
"PennyMac Financial Services, Inc.","PFSI",67.77
"Signet Jewelers Ltd.","SIG",90.89
"NuVasive, Inc.","NUVA",52.17
"Phunware, Inc.","PHUN",2.65
"ORIX Corp.","IX",106.23
"Oceaneering International, Inc.","OII",12.86
"Service Corp. International","SCI",66.14
"Pulmatrix, Inc.","PULM",0.41
"PAE, Inc.","PAE",9.92
"PG&E Corp.","PCG",12.2
"QuickLogic Corp.","QUIK",5.06
"Oragenics, Inc.","OGEN",0.52
"Plug Power, Inc.","PLUG",24.96
"Ondas Holdings, Inc.","ONDS",5.45
"Rush Street Interactive, Inc.","RSI",15.1
"Relay Therapeutics, Inc.","RLAY",26.78
"Sealed Air Corp.","SEE",65.69
"Schneider National, Inc.","SNDR",26.13
"Royal Gold, Inc.","RGLD",99.27
"Palo Alto Networks, Inc.","PANW",525.45
"Rave Restaurant Group, Inc.","RAVE",1.03
"Ping Identity Holding Corp.","PING",20.86
"Piedmont Office Realty Trust, Inc.","PDM",19.66
"SAP SE - ADR","SAP",138.3
"ObsEva SA","OBSV",1.94
"Procter & Gamble Co.","PG",162.73
"Realty Income Corp.","O",71.4
"SFL Corp. Ltd.","SFL",8.42
"Organovo Holdings, Inc.","ONVO",3.8
"Retail Value, Inc.","RVI",6.3
"Ribbon Communications, Inc.","RBBN",6.11
"Seritage Growth Properties","SRG",13
"PetroChina Co., Ltd.","PTR",48.02
"Similarweb Ltd","SMWB",17.52
"Pacira Biosciences, Inc.","PCRX",60.16
"PolarityTE, Inc.","PTE",0.61
"Platinum Group Metals Ltd.","PLG",1.63
"Rackspace Technology, Inc.","RXT",13.25
"Roper Technologies, Inc.","ROP",461.32
"Shineco, Inc.","SISI",4.44
"Q2 Holdings, Inc.","QTWO",75.68
"Northwest Bancshares, Inc. (Pennsylvania)","NWBI",14.72
"SenesTech, Inc.","SNES",1.03
"Nordstrom, Inc.","JWN",23.22
"Nu Skin Enterprises, Inc.","NUS",53.68
"Seabridge Gold, Inc.","SA",15.23
"SLM Corp.","SLM",20.34
"Rockwell Automation, Inc.","ROK",327.78
"One Liberty Properties, Inc.","OLP",34.99
"Patterson Cos., Inc.","PDCO",29.37
"Realogy Holdings Corp.","RLGY",16.17
"PubMatic, Inc.","PUBM",26.76
"Novo Nordisk A/S","NVO",101.47
"RISE Education Cayman Ltd.","REDU",0.51
"Sanofi","SNY",50.24
"Novavax, Inc.","NVAX",126.92
"Organon & Co.","OGN",32.4
"Quanterix Corp.","QTRX",34.16
"Reinsurance Group of America, Inc.","RGA",115.9
"Nucor Corp.","NUE",114.49
"Robinhood Markets Inc - Ordinary Shares - Class A","HOOD",15.88
"Quipt Home Medical Corp.","QIPT",5.9
"PDC Energy, Inc.","PDCE",52.81
"Performance Food Group Co.","PFGC",46.75
"Repro-Med Systems, Inc.","KRMD",3.01
"ProPetro Holding Corp.","PUMP",9.6
"Novan, Inc.","NOVN",4
"Smart Sand, Inc.","SND",2.05
"SharpLink Gaming Ltd.","SBET",2.25
"Ra Medical Systems, Inc.","RMED",1.51
"Norwegian Cruise Line Holdings Ltd.","NCLH",22.2
"Ocugen, Inc.","OCGN",4.07
"Regeneron Pharmaceuticals, Inc.","REGN",603.87
"Recro Pharma, Inc.","REPH",1.61
"Ocular Therapeutix, Inc.","OCUL",6.43
"OUTFRONT Media, Inc.","OUT",26.21
"Qorvo, Inc.","QRVO",154.57
"Sangamo Therapeutics, Inc.","SGMO",6.77
"Origin Agritech Ltd.","SEED",6.9
"Sensus Healthcare, Inc.","SRTS",8.19
"Packaging Corporation of America","PKG",137.83
"Orchid Island Capital, Inc.","ORC",4.63
"Ormat Technologies, Inc.","ORA",75.89
"Polar Power, Inc.","POLA",3.49
"Ovintiv, Inc.","OVV",37.81
"Salarius Pharmaceuticals, Inc.","SLRX",0.48
"Qilian International Holding Group Ltd.","QLI",2.49
"RealNetworks, Inc.","RNWK",0.92
"SeaChange International, Inc.","SEAC",1.51
"Paychex, Inc.","PAYX",128.84
"Rockwell Medical, Inc.","RMTI",0.4
"Plains GP Holdings LP","PAGP",10.92
"Old Republic International Corp.","ORI",25.5
"Progyny, Inc.","PGNY",43.78
"Six Flags Entertainment Corp.","SIX",43.82
"Rent-A-Center, Inc.","RCII",46.63
"SEMrush Holdings Inc - Ordinary Shares - Class A","SEMR",17.42
"Scully Royalty Ltd.","SRL",8.26
"Olink Holding AB","OLK",11.71
"Second Sight Medical Products, Inc.","EYES",1.61
"Paya Holdings, Inc.","PAYA",6.56
"PPL Corp.","PPL",30.25
"Pool Corp.","POOL",503.11
"Pioneer Natural Resources Co.","PXD",199.05
"Siyata Mobile, Inc.","SYTA",1.86
"SELLAS Life Sciences Group, Inc.","SLS",5.58
"RYB Education, Inc.","RYB",2.13
"Qurate Retail, Inc.","QRTEA",8.04
"Onconova Therapeutics, Inc.","ONTX",2.28
"Silence Therapeutics Plc","SLN",23.7
"OGE Energy Corp.","OGE",37.53
"PS Business Parks, Inc.","PSB",178.68
"Office Depot, Inc.","ODP",41.25
"Nova Ltd.","NVMI",131.99
"Norfolk Southern Corp.","NSC",296.81
"Pluristem Therapeutics, Inc.","PSTI",1.45
"Sinclair Broadcast Group, Inc.","SBGI",28.85
"Ortho Clinical Diagnostics Holdings Plc","OCDX",19.98
"PerkinElmer, Inc. (United States)","PKI",181.65
"Park Hotels & Resorts, Inc.","PK",19.81
"Schrödinger, Inc.","SDGR",31.94
"NVIDIA Corp.","NVDA",272.28
"Sabre Corp.","SABR",9.31
"Nouveau Monde Graphite, Inc.","NMG",7.49
"Simmons First National Corp.","SFNC",32.07
"SM Energy Co.","SM",32.81
"Owens & Minor, Inc.","OMI",45.07
"Ralph Lauren Corp.","RL",118.05
"Ollie's Bargain Outlet Holdings, Inc.","OLLI",49.71
"Repay Holdings Corp.","RPAY",18.29
"Palantir Technologies, Inc.","PLTR",16.57
"Radware Ltd.","RDWR",36.09
"Precipio, Inc.","PRPO",1.56
"Raytheon Technologies Corp.","RTX",90.44
"Performant Financial Corp.","PFMT",2.21
"Powerbridge Technologies Co. Ltd.","PBTS",0.46
"Owens Corning","OC",89.84
"Purple Innovation, Inc.","PRPL",11.67
"NOV, Inc.","NOV",15.08
"PulteGroup, Inc.","PHM",52.28
"Pinterest, Inc.","PINS",32.42
"Scientific Games Corp.","SGMS",63.54
"Office Properties Income Trust","OPI",27.5
"Shift4 Payments, Inc.","FOUR",56.56
"Senseonics Holdings, Inc.","SENS",2.7
"Occidental Petroleum Corp.","OXY",33.22
"Range Resources Corp.","RRC",18.7
"Osmotica Pharmaceuticals Plc","OSMT",1.03
"Rekor Systems, Inc.","REKR",6.02
"ServiceNow, Inc.","NOW",566.01
"RLJ Lodging Trust","RLJ",14.48
"SailPoint Technologies Holdings, Inc.","SAIL",44.55
"Seagen Inc.","SGEN",143.61
"R1 RCM, Inc.","RCM",23.34
"PagerDuty, Inc.","PD",31.89
"Organogenesis Holdings, Inc.","ORGO",8.27
"Scienjoy Holding Corp.","SJ",5.63
"Perpetua Resources Corp.","PPTA",4.56
"SCWorx Corp.","WORX",1.28
"Pacific Biosciences of California, Inc.","PACB",16.75
"Shake Shack, Inc.","SHAK",69.56
"Pebblebrook Hotel Trust","PEB",23.7
"Nyxoah SA","NYXH",22
"Phillips Edison & Co., Inc.","PECO",34.27
"SciPlay Corp.","SCPL",11.99
"Option Care Health, Inc.","OPCH",25.03
"PayPal Holdings, Inc.","PYPL",187.59
"PagSeguro Digital Ltd.","PAGS",23.69
"Pfizer Inc.","PFE",55.71
"Sirius XM Holdings, Inc.","SIRI",6.2
"Pinduoduo, Inc.","PDD",55.84
"Sapiens International Corp. NV","SPNS",33.01
"Planet Fitness, Inc.","PLNT",91.25
"Northern Trust Corp.","NTRS",129.59
"Oak Street Health, Inc.","OSH",25.47
"PAVmed, Inc.","PAVM",2.04
"Rayonier Advanced Materials, Inc.","RYAM",6.01
"Simon Property Group, Inc.","SPG",161.23
"Rexford Industrial Realty, Inc.","REXR",75.32
"Omeros Corp.","OMER",6.27
"Reed's, Inc.","REED",0.36
"Select Medical Holdings Corp.","SEM",28.03
"O-I Glass, Inc.","OI",13.01
"Silicom Ltd.","SILC",47.5
"Overstock.com, Inc.","OSTK",53.43
"Ocean Power Technologies, Inc.","OPTT",1.4
"Playtika Holding Corp.","PLTK",16.83
"Profire Energy, Inc.","PFIE",1.12
"Skyworks Solutions, Inc.","SWKS",154.13
"ONEOK, Inc.","OKE",62.48
"Opendoor Technologies, Inc.","OPEN",11.36
"Portland General Electric Co.","POR",53.26
"Quidel Corp.","QDEL",124.15
"Proto Labs, Inc.","PRLB",52.23
"Pentair Plc","PNR",69.41
"Pitney Bowes, Inc.","PBI",6.63
"Senmiao Technology Ltd.","AIHS",0.35
"Points.com Inc","PCOM",14.65
"Sientra, Inc.","SIEN",3.1
"Safe-T Group Ltd.","SFET",0.72
"Riot Blockchain, Inc.","RIOT",20.37
"Redfin Corp.","RDFN",33.16
"Regulus Therapeutics, Inc.","RGLS",0.3
"Siebert Financial Corp.","SIEB",2.28
