"","company","tikr","price"
"1680","Block, Inc.","SQ",141.55
"1681","Tootsie Roll Industries, Inc.","TR",36.42
"1682","Broadmark Realty Capital, Inc.","BRMK",9.76
"1683","Callaway Golf Co.","ELY",26.53
"1684","Caesars Entertainment, Inc.","CZR",89.62
"1685","ChemoCentryx, Inc.","CCXI",36.6
"1686","Bioceres Crop Solutions Corp.","BIOX",13.52
"1687","Balchem Corp.","BCPC",158.87
"1688","Avalo Therapeutics Inc","AVTX",1.04
"1689","Casey's General Stores, Inc.","CASY",196.64
"1690","Builders FirstSource, Inc.","BLDR",78.63
"1691","Brookfield Asset Management, Inc.","BAM",57.37
"1692","BP plc - ADR","BP",29.68
"1693","Boston Omaha Corp.","BOMN",29.11
"1694","Bruker Corp.","BRKR",74.19
"1695","Avidity Biosciences, Inc.","RNA",19.2
"1696","ChampionX Corp.","CHX",22.9
"1697","BlueCity Holdings Ltd.","BLCT",1.44
"1698","CAE, Inc.","CAE",25.51
"1699","Azenta Inc","AZTA",93.57
"1700","Bumble Inc - Ordinary Shares - Class A","BMBL",31.44
"1701","Cabot Corp.","CBT",58.53
"1702","Blackstone Mortgage Trust, Inc.","BXMT",31.31
"1703","Blueprint Medicines Corp.","BPMC",91.55
"1704","BankFinancial Corp.","BFIN",10.84
"1705","Brown-Forman Corp.","BF/B",68.14
"1706","Avery Dennison Corp.","AVY",213.27
"1707","BellRing Brands, Inc.","BRBR",26.24
"1708","AVITA Medical, Inc.","RCEL",11.29
"1709","Castlight Health, Inc.","CSLT",2.04
"1710","Camtek Ltd.","CAMT",41.51
"1711","BM Technologies, Inc.","BMTX",9.3
"1712","Bank of Marin Bancorp","BMRC",38.73
"1713","First Wave BioPharma Inc","FWBI",1.48
"1714","CareDx, Inc.","CDNA",39.07
"1715","CareCloud, Inc.","MTBC",5.91
"1716","BlackRock Capital Investment Corp.","BKCC",4.18
"1717","Blackrock TCP Capital Corp.","TCPC",13.64
"1718","BGSF, Inc.","BGSF",13.98
"1719","Bel Fuse, Inc.","BELFB",13.44
"1720","China Sxt Pharmaceuticals, Inc.","SXTC",0.54
"1721","Carrols Restaurant Group, Inc.","TAST",2.9
"1722","BiomX, Inc.","PHGE",1.55
"1723","BJ's Wholesale Club Holdings, Inc.","BJ",65.73
"1724","Black Diamond Therapeutics, Inc.","BDTX",5.11
"1725","Canopy Growth Corp.","CGC",8.52
"1726","Calyxt, Inc.","CLXT",2.17
"1727","cbdMD, Inc.","YCBD",1.07
"1728","BlackBerry Ltd.","BB",8.87
"1729","China Petroleum & Chemical Corp.","SNP",50.2
"1730","Butterfly Network, Inc.","BFLY",6.07
"1731","Beazer Homes USA, Inc.","BZH",20.96
"1732","Ballard Power Systems, Inc.","BLDP",11.66
"1733","Bottomline Technologies, Inc.","EPAY",56.36
"1734","BioDelivery Sciences International, Inc.","BDSI",3.1
"1735","Calliditas Therapeutics AB","CALT",23.28
"1736","Brown-Forman Corp.","BF/A",63.2
"1737","Best Buy Co., Inc.","BBY",102.49
"1738","Benitec Biopharma, Inc.","BNTC",2.42
"1739","Build-A-Bear Workshop, Inc.","BBW",21.12
"1740","CarMax, Inc.","KMX",121.08
"1741","Axon Enterprise, Inc.","AXON",145.08
"1742","Babcock & Wilcox Enterprises, Inc.","BW",8.65
"1743","Cars.com, Inc.","CARS",15.92
"1744","Carriage Services, Inc.","CSV",58.02
"1745","Blink Charging Co.","BLNK",23.68
"1746","Capital Bancorp, Inc. (Maryland)","CBNK",26.12
"1747","Calavo Growers, Inc.","CVGW",43.81
"1748","Canadian Solar, Inc.","CSIQ",29.78
"1749","Bridgeline Digital, Inc.","BLIN",2.11
"1750","CareTrust REIT, Inc.","CTRE",23.09
"1751","Chicken Soup for the Soul Entertainment, Inc.","CSSE",13.85
"1752","Baxter International, Inc.","BAX",87.46
"1753","Camden Property Trust","CPT",166.98
"1754","Axos Financial, Inc.","AX",60.54
"1755","Calix, Inc.","CALX",59.77
"1756","Aviat Networks, Inc.","AVNW",31.4
"1757","Cass Information Systems, Inc.","CASS",40.93
"1758","C.H. Robinson Worldwide, Inc.","CHRW",108.43
"1759","Charter Communications, Inc.","CHTR",610.31
"1760","Bicycle Therapeutics Plc","BCYC",50.66
"1761","Carter Bankshares, Inc.","CARE",16.14
"1762","Berry Global Group, Inc.","BERY",73.16
"1763","Boqii Holding Ltd.","BQ",0.8
"1764","Biogen, Inc.","BIIB",232.59
"1765","Centogene NV","CNTG",5.02
"1766","Blonder Tongue Laboratories, Inc.","BDR",0.56
"1767","Blue Bird Corp.","BLBD",15.55
"1768","Capstone Green Energy Corp.","CGRN",3.31
"1769","BioNano Genomics, Inc.","BNGO",2.73
"1770","Boston Scientific Corp.","BSX",42.11
"1771","Bill.com Holdings, Inc.","BILL",201.83
"1772","CF Bankshares, Inc.","CFBK",20.5
"1773","Bally's Corp.","BALY",36.92
"1774","Centene Corp.","CNC",76.31
"1775","BancFirst Corp. (Oklahoma)","BANF",74.12
"1776","Century Aluminum Co.","CENX",17.56
"1777","Century Casinos, Inc.","CNTY",11.87
"1778","Boise Cascade Co.","BCC",69.01
"1779","ChoiceOne Financial Services, Inc.","COFS",26.21
"1780","Avient Corp.","AVNT",56.06
"1781","Chromadex Corp.","CDXC",3.31
"1782","B2Gold Corp.","BTG",3.64
"1783","Casa Systems, Inc.","CASA",5.27
"1784","Bel Fuse, Inc.","BELFA",15.04
"1785","Brixmor Property Group, Inc.","BRX",25.68
"1786","Bitfarms Ltd. (Canada)","BITF",4.29
"1787","Axsome Therapeutics, Inc.","AXSM",32.9
"1788","Braze Inc - Ordinary Shares - Class A","BRZE",64.15
"1789","Barclays Plc","BCS",11.35
"1790","Bilibili, Inc.","BILI",38.43
"1791","BRF SA","BRFS",4.24
"1792","BioCardia, Inc.","BCDA",1.7
"1793","Cano Health, Inc.","CANO",7.67
"1794","Black Hills Corp.","BKH",70.34
"1795","Celsion Corp.","CLSN",0.52
"1796","Cavco Industries, Inc.","CVCO",283.78
"1797","Century Therapeutics, Inc.","IPSC",13.23
"1798","Carnival Corp.","CCL",21.91
"1799","Bellicum Pharmaceuticals, Inc.","BLCM",1.48
"1800","CDK Global, Inc.","CDK",42.37
"1801","Burlington Stores, Inc.","BURL",253.33
"1802","Brandywine Realty Trust","BDN",14.7
"1803","Capital City Bank Group, Inc.","CCBG",27.37
"1804","Brinker International, Inc.","EAT",37.7
"1805","Celanese Corp.","CE",172.02
"1806","Bio-Techne Corp.","TECH",415.15
"1807","Boot Barn Holdings, Inc.","BOOT",121.86
"1808","Cadiz, Inc.","CDZI",4.08
"1809","BankUnited, Inc.","BKU",46.36
"1810","BK Technologies Corp.","BKTI",2.95
"1811","AXT, Inc.","AXTI",8.42
"1812","Bank OZK","OZK",50.84
"1813","Booking Holdings, Inc.","BKNG",2434.62
"1814","Chatham Lodging Trust","CLDT",13.72
"1815","Campbell Soup Co.","CPB",45.84
"1816","Barings BDC, Inc.","BBDC",11.04
"1817","Bandwidth, Inc.","BAND",62.89
"1818","BridgeBio Pharma, Inc.","BBIO",14.63
"1819","Biomerica, Inc.","BMRA",4.18
"1820","Bit Brother Ltd.","BTB",0.48
"1821","B. Riley Financial, Inc.","RILY",84.59
"1822","Bentley Systems, Inc.","BSY",42.74
"1823","ChannelAdvisor Corp.","ECOM",21.92
"1824","BCB Bancorp, Inc.","BCBP",15.81
"1825","Chegg, Inc.","CHGG",29.55
"1826","CIM Commercial Trust Corp.","CMCT",8.08
"1827","Bloomin' Brands, Inc.","BLMN",21.29
"1828","Broadridge Financial Solutions, Inc.","BR",171.47
"1829","AxoGen, Inc.","AXGN",9.83
"1830","Avinger, Inc.","AVGR",0.46
"1831","BioCryst Pharmaceuticals, Inc.","BCRX",11.57
"1832","Cedar Realty Trust, Inc.","CDR",24.79
"1833","Brookfield Infrastructure Corp. (New York)","BIPC",64.3
"1834","BOK Financial Corp.","BOKF",111.47
"1835","Burcon NutraScience Corp.","BRCN",1.16
"1836","Berkshire Hills Bancorp, Inc.","BHLB",30.51
"1837","Cango, Inc. (Cayman island)","CANG",3.24
"1838","Beasley Broadcast Group, Inc.","BBGI",2
"1839","Caterpillar, Inc.","CAT",224.21
"1840","Cellectis SA","CLLS",7.73
"1841","CECO Environmental Corp.","CECE",6.23
"1842","BioXcel Therapeutics, Inc.","BTAI",19.68
"1843","Barnes & Noble Education, Inc.","BNED",6.7
"1844","Bonso Electronics International, Inc.","BNSO",4.25
"1845","Brickell Biotech, Inc.","BBI",0.23
"1846","Cabaletta Bio, Inc.","CABA",3.5
"1847","Burford Capital Ltd.","BUR",10.62
"1848","Cambridge Bancorp","CATC",92.68
"1849","Blue Foundry Bancorp","BLFY",14.69
"1850","Camden National Corp. (Maine)","CAC",51.72
"1851","Baidu, Inc.","BIDU",153.38
"1852","BioLineRx Ltd.","BLRX",2.06
"1853","Aytu Biopharma, Inc.","AYTU",1.37
"1854","Banco Macro SA","BMA",14
"1855","Bit Digital, Inc.","BTBT",5.29
"1856","BIMI International Medical, Inc.","BIMI",0.48
"1857","CBIZ, Inc.","CBZ",38.17
"1858","Bausch Health Cos., Inc.","BHC",27.03
"1859","Caleres, Inc.","CAL",22.6
"1860","Byline Bancorp, Inc.","BY",29
"1861","Carrier Global Corp.","CARR",51.84
"1862","Canaan, Inc.","CAN",4.67
"1863","Brady Corp.","BRC",53.47
"1864","Baosheng Media Group Holdings Ltd.","BAOS",0.95
"1865","Bath & Body Works Inc","BBWI",59.9
"1866","Broadcom, Inc.","AVGO",618.85
"1867","Cadence Design Systems, Inc.","CDNS",166.01
"1868","Bellerophon Therapeutics, Inc.","BLPH",3.1
"1869","Cheesecake Factory, Inc.","CAKE",38.91
"1870","Ciena Corp.","CIEN",72.99
"1871","Caladrius Biosciences, Inc.","CLBS",0.93
"1872","Callon Petroleum Co.","CPE",51.94
"1873","Blade Air Mobility, Inc.","BLDE",7.53
"1874","Bunge Ltd.","BG",96.96
"1875","BSQUARE Corp.","BSQR",1.64
"1876","Brighthouse Financial, Inc.","BHF",56.18
"1877","Cambium Networks Corp.","CMBM",23.81
"1878","BorgWarner, Inc.","BWA",48.63
"1879","Bluerock Residential Growth REIT, Inc.","BRG",26.41
"1880","Biophytis SA","BPTS",5.47
"1881","BrightSphere Investment Group, Inc.","BSIG",24.31
"1882","BRT Apartments Corp.","BRT",22.76
"1883","California Resources Corp.","CRC",43.14
"1884","Chicago Rivet & Machine Co.","CVR",26.86
"1885","Axonics, Inc.","AXNX",54.65
"1886","Cincinnati Bancorp, Inc.","CNNB",14.59
"1887","BeyondSpring, Inc.","BYSI",4.52
"1888","Baudax Bio, Inc.","BXRX",0.21
"1889","Cardiff Oncology, Inc.","CRDF",6.35
"1890","British American Tobacco plc","BTI",38.98
"1891","BeiGene Ltd.","BGNE",229.45
"1892","Better Choice Co., Inc.","BTTR",2.98
"1893","Banco Santander Mexico SA Institucion de Banca Multiple","BSMX",5.7
"1894","Avrobio, Inc.","AVRO",2.12
"1895","Cardiovascular Systems, Inc.","CSII",18.11
"1896","Aware, Inc. (Massachusetts)","AWRE",3.01
"1897","BrasilAgro Cia Brasileira de Propriedades Agricolas","LND",5.07
"1898","Central Garden & Pet Co.","CENTA",45.91
"1899","BRP Group, Inc.","BRP",33.4
"1900","Bolt Biotherapeutics, Inc.","BOLT",3.77
"1901","BriaCell Therapeutics Corp.","BCTX",8.48
"1902","Bankwell Financial Group, Inc.","BWFG",33.82
"1903","Blucora, Inc.","BCOR",16.97
"1904","Can-Fite BioPharma Ltd.","CANF",1.31
"1905","Chesapeake Utilities Corp.","CPK",139.2
"1906","BioNTech SE","BNTX",211.88
"1907","Brooklyn ImmunoTherapeutics, Inc.","BTX",3.88
"1908","CBAK Energy Technology, Inc.","CBAT",1.38
"1909","C&F Financial Corp.","CFFI",52.2
"1910","Bristol Myers Squibb Co.","BMY",62.82
"1911","China Life Insurance Co. Ltd.","LFC",8.69
"1912","Aziyo Biologics, Inc.","AZYO",6.49
"1913","Carter's, Inc.","CRI",98.6
"1914","Byrna Technologies, Inc.","BYRN",12.11
"1915","Charles & Colvard Ltd.","CTHR",2.63
"1916","Avino Silver & Gold Mines Ltd.","ASM",0.79
"1917","Checkpoint Therapeutics, Inc.","CKPT",2.73
"1918","BEST, Inc. (China)","BEST",0.88
"1919","CarLotz, Inc.","LOTZ",2.22
"1920","Canadian Natural Resources Ltd.","CNQ",47.29
"1921","Blue Ridge Bankshares, Inc. (Virginia)","BRBS",18.25
"1922","BioSig Technologies, Inc.","BSGM",2.26
"1923","Cactus, Inc.","WHD",42.67
"1924","BOS Better Online Solutions Ltd.","BOSC",2.79
"1925","Champions Oncology, Inc.","CSBR",8.2
"1926","Avid Bioservices, Inc.","CDMO",22.21
"1927","California Water Service Group","CWT",67.78
"1928","CBRE Group, Inc.","CBRE",104.8
"1929","Central Garden & Pet Co.","CENT",50.09
"1930","Axcelis Technologies, Inc.","ACLS",68.7
"1931","Carver Bancorp, Inc.","CARV",7.89
"1932","C4 Therapeutics, Inc.","CCCC",27.11
"1933","Chemung Financial Corp.","CHMG",45.38
"1934","CEMEX SAB de CV","CX",6.55
"1935","Ceragon Networks Ltd.","CRNT",2.48
"1936","Canon, Inc.","CAJ",24.15
"1937","Avid Technology, Inc.","AVID",29.06
"1938","BIOLASE, Inc.","BIOL",0.4
"1939","Choice Hotels International, Inc.","CHH",154.25
"1940","Blue Apron Holdings, Inc.","APRN",6.39
"1941","Chico's FAS, Inc.","CHS",4.87
"1942","Bank First Corp.","BFC",73.06
"1943","Celsius Holdings, Inc.","CELH",54.55
"1944","Baozun, Inc.","BZUN",14.05
"1945","Blend Labs, Inc.","BLND",7.01
"1946","Banc of California, Inc.","BANC",21.21
"1947","BioMarin Pharmaceutical, Inc.","BMRN",84.21
"1948","Baker Hughes Co.","BKR",26.13
"1949","BJ's Restaurants, Inc.","BJRI",33.82
"1950","CF Industries Holdings, Inc.","CF",69.14
"1951","Certara, Inc.","CERT",25.48
"1952","Celularity, Inc.","CELU",4.6
"1953","Bright Health Group, Inc.","BHG",2.95
"1954","Banner Corp.","BANR",64.91
"1955","Capricor Therapeutics, Inc.","CAPR",3.04
"1956","Barnwell Industries, Inc.","BRN",2.84
"1957","BRP, Inc.","DOOO",82.78
"1958","C3.ai, Inc.","AI",29.93
"1959","Axcella Health, Inc.","AXLA",2.01
"1960","Bio-Rad Laboratories, Inc.","BIO",662.87
"1961","BIT Mining Ltd.","BTCM",5.58
"1962","Catalent, Inc.","CTLT",115.46
"1963","Braemar Hotels & Resorts, Inc.","BHR",5.32
"1964","Carpenter Technology Corp.","CRS",32.47
"1965","BayCom Corp.","BCML",19.2
"1966","Banco Bradesco SA","BBD",3.57
"1967","Avnet, Inc.","AVT",41.33
"1968","Chesapeake Energy Corp.","CHK",69.35
"1969","Blue Hat Interactive Entertainment Technology","BHAT",0.42
"1970","Bogota Financial Corp.","BSBK",10.1
"1971","Berkeley Lights, Inc.","BLI",9.6
"1972","Bioventus, Inc.","BVS",14.23
"1973","Berry Corp.","BRY",8.8
"1974","Camber Energy, Inc.","CEI",0.82
"1975","Castle Biosciences, Inc.","CSTL",39.16
"1976","Chemomab Therapeutics Ltd.","CMMB",6.74
"1977","Bank of South Carolina Corp.","BKSC",20.25
"1978","Brown & Brown, Inc.","BRO",68.59
"1979","BCE, Inc.","BCE",52.14
"1980","Capital Southwest Corp","CSWC",24.89
"1981","AYRO, Inc.","AYRO",1.54
"1982","Boston Properties, Inc.","BXP",125.63
"1983","Biofrontera AG","BFRA",3.05
"1984","Charles River Laboratories International, Inc.","CRL",328.82
"1985","BWX Technologies, Inc.","BWXT",49.04
"1986","Chart Industries, Inc.","GTLS",137.7
"1987","Bio-Path Holdings, Inc.","BPTH",3.88
"1988","Brunswick Corp.","BC",100.28
"1989","Carvana Co.","CVNA",184.6
"1990","Cellectar BioSciences, Inc.","CLRB",0.69
"1991","Cidara Therapeutics, Inc.","CDTX",1.07
"1992","Cerus Corp.","CERS",6.01
"1993","Box, Inc.","BOX",25.66
"1994","Ayala Pharmaceuticals, Inc.","AYLA",7.65
"1995","Bar Harbor Bankshares","BHB",31.25
"1996","Bank of Montreal","BMO",113.15
"1997","BioVie, Inc.","BIVI",4.77
"1998","Bassett Furniture Industries, Inc.","BSET",16.88
"1999","Barrett Business Services, Inc.","BBSI",67.15
"2000","Barnes Group, Inc.","B",47.9
"2001","Chimerix, Inc.","CMRX",6
"2002","Cardinal Health, Inc.","CAH",54.25
"2003","Celcuity, Inc.","CELC",12.85
"2004","Bio-Rad Laboratories, Inc.","BIO/B",679.16
"2005","Cerner Corp.","CERN",92.32
"2006","Berkshire Hathaway, Inc.","BRK/B",319.8
"2007","B&G Foods, Inc.","BGS",33.74
"2008","Cimpress Plc","CMPR",70.95
"2009","Checkmate Pharmaceuticals, Inc.","CMPI",2.61
"2010","Centrus Energy Corp.","LEU",51.97
"2011","Ballantyne Strong, Inc.","BTN",2.93
"2012","Cal-Maine Foods, Inc.","CALM",38.86
"2013","Cathay General Bancorp","CATY",46.32
"2014","CASI Pharmaceuticals, Inc.","CASI",0.78
"2015","Ceridian HCM Holding, Inc.","CDAY",89.51
"2016","Brigham Minerals, Inc.","MNRL",22.41
"2017","Bridgewater Bancshares, Inc.","BWB",18.02
"2018","BlackLine, Inc.","BL",96.37
"2019","Banco Bradesco SA","BBDO",2.9
"2020","Check Point Software Technologies Ltd.","CHKP",119.5
"2021","Bank7 Corp.","BSVN",24.62
"2022","Cherry Hill Mortgage Investment Corp.","CHMI",8.42
"2023","Beyond Meat, Inc.","BYND",68.62
"2024","CenterPoint Energy, Inc.","CNP",27.65
"2025","Bristow Group, Inc.","VTOL",33.58
"2026","Catalyst Biosciences, Inc.","CBIO",0.83
"2027","Bed Bath & Beyond, Inc.","BBBY",13.81
"2028","Bright Horizons Family Solutions, Inc.","BFAM",126.48
"2029","Bain Capital Specialty Finance, Inc.","BCSF",15.65
"2030","CDW Corp.","CDW",198.36
"2031","CatchMark Timber Trust, Inc.","CTT",8.83
"2032","CBTX, Inc. (Texas)","CBTX",30.3
"2033","Belden, Inc.","BDC",61.25
"2034","Capital One Financial Corp.","COF",154.63
"2035","CEL-SCI Corp.","CVM",6.21
"2036","Renovare Environmental Inc","RENO",0.7
"2037","bluebird bio, Inc.","BLUE",9.55
"2038","Churchill Downs, Inc.","CHDN",230.97
"2039","Canadian National Railway Co.","CNI",123.41
"2040","Broadway Financial Corp. (California)","BYFC",2.45
"2041","Boxlight Corp.","BOXL",1.23
"2042","BigCommerce Holdings, Inc.","BIGC",32.67
"2043","Banco BBVA Argentina SA","BBAR",3.11
"2044","BlackRock, Inc.","BLK",892.25
"2045","Chinook Therapeutics, Inc.","KDNY",14.34
"2046","CARA Therapeutics, Inc.","CARA",11.77
"2047","CareMax, Inc.","CMAX",7.75
"2048","CACI International, Inc.","CACI",273.18
"2049","Brightcove, Inc.","BCOV",9.96
"2050","Canoo, Inc.","GOEV",7.01
"2051","Chemed Corp.","CHE",496.72
"2052","Business First Bancshares, Inc.","BFST",29.25
"2053","Benchmark Electronics, Inc.","BHE",26.96
"2054","Canadian Pacific Railway Ltd.","CP",75.74
"2055","BurgerFi International, Inc.","BFI",5.79
"2056","Cable One, Inc.","CABO",1669.16
"2057","Bon Natural Life Ltd","BON",4.18
"2058","CalAmp Corp.","CAMP",6.55
"2059","Betterware de México SAPI de CV","BWMX",19.63
"2060","Ball Corp.","BLL",90.53
"2061","Bright Scholar Education Holdings Ltd.","BEDU",1.02
"2062","Casper Sleep, Inc.","CSPR",6.67
"2063","Century Communities, Inc.","CCS",70.88
"2064","Coterra Energy Inc","CTRA",21.55
"2065","Blue Owl Capital, Inc.","OWL",14.01
"2066","China Southern Airlines Co. Ltd.","ZNH",30.4
"2067","Cboe Global Markets, Inc.","CBOE",124.17
"2068","Beam Global","BEEM",16.21
"2069","Big Lots, Inc.","BIG",49.67
"2070","Centerspace","CSR",103.33
"2071","Chase Corp.","CCF",99.99
"2072","AZZ, Inc.","AZZ",55.03
"2073","Capitol Federal Financial, Inc.","CFFN",11.68
"2074","Biomea Fusion, Inc.","BMEA",7.83
"2075","Casella Waste Systems, Inc.","CWST",80.26
"2076","BioLife Solutions, Inc.","BLFS",30.88
"2077","Catalyst Pharmaceuticals, Inc.","CPRX",6.56
"2078","Braskem SA","BAK",18.69
"2079","Centennial Resource Development, Inc.","CDEV",6.95
"2080","Biocept, Inc.","BIOC",3.78
"2081","Beacon Roofing Supply, Inc.","BECN",54.69
"2082","CarParts.com, Inc.","PRTS",11.25
"2083","Camping World Holdings, Inc.","CWH",38.58
"2084","Chimera Investment Corp.","CIM",15.06
"2085","Canada Goose Holdings, Inc.","GOOS",34.39
"2086","Church & Dwight Co., Inc.","CHD",103.59
"2087","Bluegreen Vacations Holding Corp.","BVH",34.16
"2088","Calithera Biosciences, Inc.","CALA",0.6
"2089","Cigna Corp.","CI",233.16
"2090","Bloom Energy Corp.","BE",19.26
"2091","Cheniere Energy, Inc.","LNG",108.44
"2092","Boyd Gaming Corp.","BYD",63.51
"2093","Brainsway Ltd.","BWAY",7.72
"2094","BioAtla, Inc.","BCAB",16.16
"2095","Biodesix, Inc.","BDSX",5.4
"2096","Canadian Imperial Bank of Commerce","CM",124.01
"2097","Big 5 Sporting Goods Corp.","BGFV",19.09
"2098","Bank of America Corp.","BAC",49.17
"2099","Cerence, Inc.","CRNC",79.03
"2100","Cannae Holdings, Inc.","CNNE",34.43
"2101","Chewy, Inc.","CHWY",48.61
"2102","Avista Corp.","AVA",42.98
"2103","Bridgford Foods Corp.","BRID",12.01
"2104","BiondVax Pharmaceuticals Ltd.","BVXV",2.04
"2105","Brookdale Senior Living, Inc.","BKD",5.25
"2106","Bank of Hawaii Corp.","BOH",90.76
"2107","Change Healthcare, Inc.","CHNG",21.09
"2108","Azul SA","AZUL",12.79
"2109","Brainstorm Cell Therapeutics, Inc.","BCLI",3.75
"2110","Battalion Oil Corp.","BATL",10.31
"2111","Borqs Technologies, Inc.","BRQS",0.39
"2112","Central Pacific Financial Corp.","CPF",30.38
"2113","Avis Budget Group, Inc.","CAR",196.96
"2114","Chembio Diagnostics, Inc.","CEMI",1.08
"2115","Booz Allen Hamilton Holding Corp.","BAH",87.46
"2116","BGC Partners, Inc.","BGCP",4.59
"2117","Boston Beer Co., Inc.","SAM",517.88
"2118","Bowman Consulting Group Ltd.","BWMN",21.4
"2119","Chevron Corp.","CVX",125.03
"2120","Capri Holdings Ltd.","CPRI",61.85
"2121","Benefitfocus, Inc.","BNFT",10.56
"2122","Carlisle Cos., Inc.","CSL",238.95
"2123","Cantaloupe, Inc.","CTLP",8.45
"2124","China Natural Resources, Inc.","CHNR",1.06
"2125","BrightSpire Capital, Inc.","BRSP",10.08
"2126","Blackbaud, Inc.","BLKB",69.32
"2127","Check-Cap Ltd.","CHEK",0.66
"2128","Badger Meter, Inc.","BMI",97.77
"2129","Black Knight, Inc.","BKI",79.13
"2130","Burning Rock Biotech Ltd.","BNR",9.23
"2131","CB Financial Services, Inc.","CBFV",24.25
"2132","Beyond Air, Inc.","XAIR",8.57
"2133","Broadwind, Inc.","BWEN",1.78
"2134","BIO-key International, Inc.","BKYI",2.29
"2135","Central Valley Community Bancorp","CVCY",22.78
"2136","Beam Therapeutics, Inc.","BEAM",70.37
"2137","Axalta Coating Systems Ltd.","AXTA",32.51
"2138","Barrick Gold Corp.","GOLD",18.1
"2139","Broadstone Net Lease, Inc.","BNL",24.25
"2140","Brookfield Renewable Corp.","BEPC",34.74
"2141","CEVA, Inc.","CEVA",38.94
"2142","Charah Solutions, Inc.","CHRA",5.33
"2143","Celldex Therapeutics, Inc.","CLDX",36.61
"2144","Cinedigm Corp.","CIDM",1.15
"2145","Becton, Dickinson & Co.","BDX",254.12
"2146","Cameco Corp.","CCJ",23.68
"2147","Cemtrex, Inc.","CETX",0.85
"2148","Brookline Bancorp, Inc.","BRKL",17.48
"2149","California BanCorp","CALB",20.45
"2150","Cardlytics, Inc.","CDLX",61
"2151","Caesarstone Ltd.","CSTE",12.13
"2152","Cargurus, Inc.","CARG",32.58
"2153","Birks Group, Inc.","BGI",4.71
"2154","Canterbury Park Holding Corp.","CPHC",17.4
"2155","Cincinnati Financial Corp.","CINF",118.64
"2156","Pixelworks, Inc.","PXLW",4.1
"2157","Paramount Group, Inc.","PGRE",9.64
"2158","OneMain Holdings, Inc.","OMF",53.16
"2159","PennyMac Mortgage Investment Trust","PMT",18.03
"2160","Ryman Hospitality Properties, Inc.","RHP",91.84
"2161","Phoenix New Media Ltd.","FENG",0.83
"2162","Rambus, Inc.","RMBS",27.55
"2163","Plantronics, Inc.","POLY",28.3
"2164","Research Solutions, Inc.","RSSS",2.29
"2165","Seagate Technology Holdings Plc","STX",110.93
"2166","Quhuo Ltd.","QH",1.08
"2167","PDS Biotechnology Corp.","PDSB",7.22
"2168","PotlatchDeltic Corp.","PCH",56.52
"2169","Sleep Number Corp.","SNBR",77.13
"2170","Partner Communications Co. Ltd.","PTNR",8.08
"2171","Radian Group Inc.","RDN",22.57
"2172","Pop Culture Group Co., Ltd.","CPOP",2.23
"2173","Raymond James Financial, Inc.","RJF",109.05
"2174","Pennsylvania Real Estate Investment Trust","PEI",1.18
"2175","Savara, Inc.","SVRA",1.32
"2176","Pinnacle West Capital Corp.","PNW",70.79
"2177","Q&K International Group Ltd.","QK",0.52
"2178","Safehold Inc.","SAFE",70.62
"2179","Sarepta Therapeutics, Inc.","SRPT",85.52
"2180","nVent Electric Plc","NVT",37.38
"2181","Otis Worldwide Corp.","OTIS",84.33
"2182","Sempra Energy","SRE",138.2
"2183","TROOPS Inc","TROO",5
"2184","Petróleo Brasileiro SA","PBR",11.01
"2185","Nxt-ID Inc","NXTD",3.04
"2186","Open Lending Corp.","LPRO",20.3
"2187","NovaBay Pharmaceuticals, Inc.","NBY",0.37
"2188","Reservoir Media Inc","RSVR",7.53
"2189","OPKO Health, Inc.","OPK",4.45
"2190","Shaw Communications, Inc.","SJR",30.11
"2191","Signature Bank (New York, New York)","SBNY",365.72
"2192","Quest Diagnostics, Inc.","DGX",155.86
"2193","Northern Oil & Gas, Inc.","NOG",22.59
"2194","Overseas Shipholding Group, Inc.","OSG",1.98
"2195","NovaGold Resources, Inc.","NG",6.36
"2196","RADCOM Ltd.","RDCM",12.95
"2197","Pactiv Evergreen, Inc.","PTVE",12.65
"2198","Progressive Corp.","PGR",109.22
"2199","Sinopec Shanghai Petrochemical Co. Ltd.","SHI",23.45
"2200","Pieris Pharmaceuticals, Inc.","PIRS",3.39
"2201","RPT Realty","RPT",13.66
"2202","PPG Industries, Inc.","PPG",167.68
"2203","Orion Office REIT Inc","ONL",17.99
"2204","Root, Inc. (Delaware)","ROOT",2.88
"2205","Pembina Pipeline Corp.","PBA",31.29
"2206","Skyline Champion Corp.","SKY",69.95
"2207","SL Green Realty Corp.","SLG",79.97
"2208","Rigel Pharmaceuticals, Inc.","RIGL",2.53
"2209","Owl Rock Capital Corp.","ORCC",14.48
"2210","RedHill Biopharma Ltd.","RDHL",2.56
"2211","Prologis, Inc.","PLD",153.71
"2212","R.R. Donnelley & Sons Co.","RRD",11.2
"2213","Okta, Inc.","OKTA",196.79
"2214","Seelos Therapeutics, Inc.","SEEL",1.47
"2215","Romeo Power, Inc.","RMO",3.23
"2216","Philip Morris International, Inc.","PM",99.13
"2217","Palatin Technologies, Inc.","PTN",0.46
"2218","Omega Healthcare Investors, Inc.","OHI",31.36
"2219","ReTo Eco-Solutions, Inc.","RETO",1.38
"2220","Otonomy, Inc.","OTIC",2.01
"2221","Resonant, Inc.","RESN",1.7
"2222","PolyMet Mining Corp.","PLM",2.66
"2223","Orla Mining Ltd.","ORLA",3.42
