"","company","tikr","price"
"295","Aterian Inc","ATER",3.86
"296","AGNC Investment Corp.","AGNC",15.31
"297","Angion Biomedica Corp.","ANGN",2.6
"298","ACNB Corp.","ACNB",33.5
"299","aTyr Pharma, Inc.","LIFE",6.73
"300","Argo Blockchain Plc","ARBK",11.25
"301","Arch Resources, Inc.","ARCH",91.64
"302","Asure Software, Inc.","ASUR",7.26
"303","Arista Networks, Inc.","ANET",129.5
"304","Ambarella, Inc.","AMBA",157.6
"305","AppHarvest, Inc.","APPH",4.1
"306","Alignment Healthcare, Inc.","ALHC",10.51
"307","Alfi, Inc.","ALF",1.92
"308","Anheuser-Busch InBev SA/NV","BUD",62.93
"309","AudioEye, Inc.","AEYE",6.86
"310","Agenus, Inc.","AGEN",2.99
"311","ADDvantage Technologies Group, Inc.","AEY",1.51
"312","Atomera, Inc.","ATOM",17.45
"313","Apple, Inc.","AAPL",172.19
"314","Astrotech Corp.","ASTC",0.69
"315","Algonquin Power & Utilities Corp.","AQN",14.18
"316","A. O. Smith Corp.","AOS",83.17
"317","Arena Pharmaceuticals, Inc.","ARNA",93.16
"318","Alto Ingredients, Inc.","ALTO",5.17
"319","AgeX Therapeutics, Inc.","AGE",1.09
"320","Angel Oak Mortgage, Inc.","AOMR",16.87
"321","Agilent Technologies, Inc.","A",145.15
"322","ANSYS, Inc.","ANSS",361.73
"323","Align Technology, Inc.","ALGN",546.7
"324","Akamai Technologies, Inc.","AKAM",110.51
"325","Anebulo Pharmaceuticals, Inc.","ANEB",6.6
"326","Aadi Bioscience Inc","AADI",21.8
"327","Alcoa Corp.","AA",62.37
"328","Applied Optoelectronics, Inc.","AAOI",4.69
"329","Alkami Technology, Inc.","ALKT",17.96
"330","Arbutus Biopharma Corp.","ABUS",3.51
"331","Argan, Inc.","AGX",39.26
"332","Assertio Holdings, Inc.","ASRT",2.71
"333","American States Water Co.","AWR",98.43
"334","Appian Corp.","APPN",60.93
"335","APi Group Corp.","APG",25.51
"336","American Financial Group, Inc.","AFG",137.71
"337","Aspen Group, Inc.","ASPU",2.47
"338","ACI Worldwide, Inc.","ACIW",34.06
"339","Albertsons Cos., Inc.","ACI",31.21
"340","Aethlon Medical, Inc.","AEMD",1.82
"341","Arcturus Therapeutics Holdings, Inc.","ARCT",34.19
"342","Arrowhead Pharmaceuticals, Inc.","ARWR",58.93
"343","AcuityAds Holdings, Inc.","ATY",3.39
"344","Antares Pharma, Inc.","ATRS",3.46
"345","Alpha Metallurgical Resources, Inc.","AMR",62.88
"346","ACV Auctions, Inc.","ACVA",17.87
"347","Adecoagro SA","AGRO",7.51
"348","ATRenew Inc","RERE",6
"349","Avanos Medical, Inc.","AVNS",33.36
"350","AMETEK, Inc.","AME",142.36
"351","AMC Networks, Inc.","AMCX",40.63
"352","Absolute Software Corp.","ABST",8.46
"353","AAON, Inc.","AAON",73.96
"354","Alaska Air Group, Inc.","ALK",55.85
"355","Adtalem Global Education, Inc.","ATGE",30.21
"356","Achilles Therapeutics Plc","ACHL",4.28
"357","22nd Century Group, Inc.","XXII",2.76
"358","Acer Therapeutics, Inc.","ACER",2.31
"359","Alkermes Plc","ALKS",24.02
"360","Accenture Plc","ACN",370.74
"361","Acurx Pharmaceuticals Inc","ACXP",4.41
"362","America Movil SAB de CV","AMOV",20.99
"363","Aclaris Therapeutics, Inc.","ACRS",12.7
"364","Affirm Holdings, Inc.","AFRM",79.67
"365","Allied Motion Technologies, Inc.","AMOT",41.23
"366","Antelope Enterprise Holdings Ltd.","AEHL",1.81
"367","Alexander & Baldwin, Inc.","ALEX",24.41
"368","Arco Platform Ltd.","ARCE",18.62
"369","Aldeyra Therapeutics, Inc.","ALDX",3.86
"370","ASML Holding NV - ADR","ASML",756.53
"371","Airbnb, Inc.","ABNB",166.19
"372","Amcor Plc","AMCR",12.12
"373","Akouos, Inc.","AKUS",8.33
"374","AC Immune SA","ACIU",4.84
"375","Arlington Asset Investment Corp.","AAIC",3.6
"376","Alibaba Group Holding Ltd - ADR","BABA",129.76
"377","AgriFORCE Growing Systems Ltd.","AGRI",1.9
"378","10X Genomics, Inc.","TXG",127.89
"379","Adamis Pharmaceuticals Corp.","ADMP",0.57
"380","Ameris Bancorp","ABCB",54.04
"381","ARC Document Solutions, Inc.","ARC",3.7
"382","American Axle & Manufacturing Holdings, Inc.","AXL",9.94
"383","AbbVie, Inc.","ABBV",134.88
"384","17 Education & Technology Group, Inc.","YQ",1.16
"385","Achieve Life Sciences, Inc.","ACHV",8.23
"386","2U, Inc.","TWOU",18.83
"387","Atlas Air Worldwide Holdings, Inc.","AAWW",88.22
"388","Arcosa, Inc.","ACA",51.39
"389","Akebia Therapeutics, Inc.","AKBA",2.22
"390","Ashford Hospitality Trust, Inc.","AHT",10.47
"391","American Resources Corp. (Indiana)","AREC",1.94
"392","AngioDynamics, Inc.","ANGO",23.46
"393","360 DigiTech, Inc.","QFIN",20.18
"394","Alimera Sciences, Inc.","ALIM",4.83
"395","Anaplan, Inc.","PLAN",44.24
"396","Amgen, Inc.","AMGN",227.28
"397","Avenue Therapeutics, Inc.","ATXI",0.91
"398","180 Life Sciences Corp.","ATNF",3.32
"399","Alzamend Neuro, Inc.","ALZN",1.92
"400","ARKO Corp.","ARKO",8.15
"401","Altice USA, Inc.","ATUS",16.11
"402","Allison Transmission Holdings, Inc.","ALSN",38.01
"403","Alector, Inc.","ALEC",17.93
"404","Assurant, Inc.","AIZ",158.68
"405","Alleghany Corp.","Y",674.53
"406","Albemarle Corp.","ALB",235.89
"407","Aquestive Therapeutics, Inc.","AQST",3.85
